lr,gamma,scores,avg_scores
0.0001,0.99,-89.10620535476372,-136.799341488154
0.0001,0.99,-71.95151445491274,-136.66050974724826
0.0001,0.99,-62.78543727945268,-136.39532919644085
0.0001,0.99,-99.68110166926307,-136.80447498931014
0.0001,0.99,-56.167966988271246,-136.42334224923852
0.0001,0.99,-117.77435183755664,-136.23755379619973
0.0001,0.99,-110.44069328741006,-136.1461713073086
0.0001,0.99,-77.61909215660528,-135.6433696035746
0.0001,0.99,-330.73925385318637,-137.43356215427232
0.0001,0.99,-166.93268400807614,-137.96033105667686
0.0001,0.99,-108.99762294704963,-136.606237289673
0.0001,0.99,-99.38145615446223,-136.66197864647887
0.0001,0.99,-78.45822092369954,-134.46171872080168
0.0001,0.99,-138.8057116835589,-134.31927527026536
0.0001,0.99,-148.84118549124014,-134.71071487593485
0.0001,0.99,-116.57676119421453,-134.6205925655799
0.0001,0.99,-153.91561419184376,-133.51312236881455
0.0001,0.99,-119.63657699018799,-134.26018945003972
0.0001,0.99,-80.89375376268796,-133.33724519190145
0.0001,0.99,-39.61216497866984,-131.73232627627695
0.0001,0.99,-146.64263160107123,-134.1986999552824
0.0001,0.99,-104.89735838361628,-134.1196141945847
0.0001,0.99,-192.22697628288782,-134.50625285282524
0.0001,0.99,-119.74579646533444,-132.93920696477747
0.0001,0.99,-109.58632372637464,-132.80267302222452
0.0001,0.99,-43.93720874538246,-132.39382165054676
0.0001,0.99,-73.08219897794805,-132.14572150359677
0.0001,0.99,-284.6363745522816,-131.45979852294104
0.0001,0.99,-76.66859334560857,-130.90187629621042
0.0001,0.99,-176.38836273925966,-131.4865254339597
0.0001,0.99,-357.22239042875583,-132.76132067319938
0.0001,0.99,-187.5258561017045,-132.18310779195005
0.0001,0.99,-96.05982551700248,-131.77718907489896
0.0001,0.99,-310.4592437491816,-133.79193976977976
0.0001,0.99,-153.7759533198983,-133.40534506842545
0.0001,0.99,-96.37668249290729,-133.134856039682
0.0001,0.99,-144.71174198628017,-133.0562225489669
0.0001,0.99,-93.60666339812246,-133.06729985698584
0.0001,0.99,-113.10223746968829,-133.3222901324692
0.0001,0.99,-30.450606324026722,-132.61188946427748
0.0001,0.99,-110.00722510150723,-130.62433281861294
0.0001,0.99,-111.84414140142724,-130.20712785625506
0.0001,0.99,-126.70667890601685,-129.85363859583376
0.0001,0.99,-99.72279981002218,-130.07030952590662
0.0001,0.99,-141.54771374648982,-130.41974459961642
0.0001,0.99,-93.13185416925988,-130.40548535573586
0.0001,0.99,-167.30565488583068,-130.7870420754105
0.0001,0.99,-56.22516258430056,-128.95602110591824
0.0001,0.99,-106.0328642922553,-129.11489119917633
0.0001,0.99,-66.81231835412785,-125.69343412040503
0.0001,0.99,-49.9630861768096,-125.21485780818927
0.0001,0.99,-103.00692377286778,-125.38980276953438
0.0001,0.99,-119.98238349667304,-124.00803004574577
0.0001,0.99,-84.57236479224946,-123.04774110993644
0.0001,0.99,-97.57213803066986,-123.12515114337695
0.0001,0.99,-88.33683754455538,-123.64472522698274
0.0001,0.99,-126.42511772642544,-123.83098409545352
0.0001,0.99,-79.27664432534606,-124.12367429686309
0.0001,0.99,11.941905563266133,-121.96458038892546
0.0001,0.99,-430.26823669597354,-125.87586461963627
0.0001,0.99,-241.11092179342148,-127.18271383680218
0.0001,0.99,-105.57400283844228,-127.9993435594057
0.0001,0.99,-125.39484632877162,-127.21181750266989
0.0001,0.99,-81.72118718816171,-126.68922999667087
0.0001,0.99,-81.28482113409238,-127.01883379503668
0.0001,0.99,-2.160068816100477,-126.1641502716623
0.0001,0.99,-97.28633263833166,-125.94545732627667
0.0001,0.99,-64.36055252416426,-124.80580202832667
0.0001,0.99,-148.12667433262536,-121.96042891779645
0.0001,0.99,-75.85670603148915,-119.96054675597244
0.0001,0.99,-76.35323921971298,-119.53477477853956
0.0001,0.99,-100.27336001137527,-119.74889748208503
0.0001,0.99,-89.36808746522284,-118.7077283191124
0.0001,0.99,-107.54101739898039,-118.41462533396101
0.0001,0.99,-147.05573768967312,-118.98850931722728
0.0001,0.99,-90.91312788412463,-119.01828721496912
0.0001,0.99,-66.03420691100709,-118.81991917068886
0.0001,0.99,-90.27903583249103,-118.71664888492674
0.0001,0.99,10.681321097148896,-117.30920216037435
0.0001,0.99,-53.201735032802205,-116.5564562924064
0.0001,0.99,-120.65753714270502,-116.46844276951666
0.0001,0.99,-93.2330602836627,-116.50310720658463
0.0001,0.99,-51.931634373416614,-115.66044478954564
0.0001,0.99,-125.7115736155543,-116.32945333433392
0.0001,0.99,-75.86259672257556,-115.86866527507436
0.0001,0.99,-106.10929220001198,-116.14613406421788
0.0001,0.99,-99.17594233467543,-115.83975135660336
0.0001,0.99,-90.82871190198951,-114.92055721921108
0.0001,0.99,-86.9139724837288,-113.69152207014298
0.0001,0.99,-129.91590116306617,-114.2353836507334
0.0001,0.99,-111.63750097836942,-114.32511065621313
0.0001,0.99,-108.27992770271237,-114.70601054550247
0.0001,0.99,-163.35678905754483,-115.49083303267558
