scores,avg_scores
-58.47171346669397,-88.71972191836288
-119.71853335773493,-89.2846868982954
-140.19731159621762,-89.9011957438638
-78.66359977961947,-89.64100388985884
-71.19893568823753,-89.72687648181095
-116.1072659070801,-90.31537393171604
-69.774060465448,-89.33791882908709
-84.64340938389074,-88.89585392687935
-29.878309319964856,-88.6229831682534
-70.28090186995783,-88.43308823622648
11.524688668978058,-87.61024016137684
-61.445223117055576,-87.69389353562273
-38.50420661296745,-85.16186583771392
-43.48742639385239,-84.53376492585511
-139.39807472066445,-85.69844427417353
-58.81294189734214,-84.97753504946898
-61.7163156529594,-84.31595934349558
-101.43169928875533,-84.9536803270559
-77.16295013472384,-84.47538929702465
-86.4471863359706,-84.66662946705759
-65.38533817488673,-84.70310025496798
-39.516319303781245,-84.3612886607792
-280.9450805837471,-86.35778696794011
-67.5612659160943,-86.29557029904005
-160.58029578918865,-87.89831709810724
-103.73052401241307,-89.47325029058153
-84.5271429741249,-89.05027947645216
-52.36046750413998,-88.63144712030775
-133.26629769769733,-89.0835740519475
-46.9874975241858,-87.23083771152159
-114.06955274485294,-87.7585130517611
-111.61123636220168,-87.2771434000624
-107.23833316913424,-87.9001914885671
-104.08060996046844,-87.75690977627393
-118.3024078415881,-87.92736801032186
-132.5928328403959,-88.194681943774
-92.09369373068803,-87.93388923243533
-108.7277341394765,-86.46875051130266
-55.394229645063696,-86.54305256329208
-76.97981574121957,-86.42936334074987
-41.9735141751927,-85.68907504553925
-104.47479766999729,-85.73684272477061
-64.3137598490058,-85.09654547255475
-59.0906291478434,-84.82174080483037
-54.43818230905248,-84.72036686235428
-173.41888501420945,-84.3724817679753
-67.95518478226619,-84.26321937898587
-68.04842479391012,-83.89316101289972
-101.93478996146476,-84.03771985755716
-44.885334798550204,-83.6453567064151
-104.54803006794498,-83.99533596054358
-29.873801824665378,-83.5236968070207
-108.60387418128634,-83.74876435315088
-60.985148020733504,-82.88707141573857
-81.8979776166189,-82.01783863046215
-37.51646501976478,-81.61976522797342
-75.39748787937148,-82.04910912721424
-113.4571503110629,-81.254183436739
-105.3186848851335,-81.19336793738391
-55.84552173491319,-80.94154532990125
-31.32118170693724,-80.22045356239401
-23.330313859582105,-79.66504290205499
-16.21423702443461,-78.72752951150017
-73.06684243741331,-78.57748222612992
-114.97668856010839,-78.87282252663985
-49.21593488315919,-78.87715978105999
-70.41865917866049,-77.63587483783571
-72.0764417654535,-77.93506912922045
-52.175571672423764,-77.72907587830967
-69.58912571508048,-77.78391259406294
