lr,gamma,scores,avg_scores
0.001,0.99,27.779988299911096,-63.25002120096506
0.001,0.99,-40.50858471210303,-63.472497520472906
0.001,0.99,19.400200028680942,-62.349631762388064
0.001,0.99,-10.697817942891376,-62.42616368431189
0.001,0.99,12.577690848603357,-60.988082970582546
0.001,0.99,136.11454616509187,-59.070138385663306
0.001,0.99,-246.10527972559157,-61.731345368400845
0.001,0.99,57.07053977346651,-59.2969820928224
0.001,0.99,119.01267692495763,-57.69387461686112
0.001,0.99,105.95433569160782,-56.80312002237039
0.001,0.99,127.69855974962162,-55.74249746256662
0.001,0.99,-188.66858509913396,-54.79131785160794
0.001,0.99,-209.27820266376872,-56.16980144933279
0.001,0.99,-114.32617736152721,-56.61896858940797
0.001,0.99,138.08812499395765,-54.88112125587972
0.001,0.99,134.36075738966844,-53.07910270380412
0.001,0.99,107.21583964728528,-52.120575957728214
0.001,0.99,-160.1167490654701,-52.87521678604908
0.001,0.99,78.56046248017846,-51.48550240118151
0.001,0.99,159.4019126786755,-49.490479310734
0.001,0.99,116.41499318399227,-47.82390943561212
0.001,0.99,-13.807052065563383,-48.04690622860238
0.001,0.99,149.08568895867253,-45.87363889364817
0.001,0.99,-271.75537823918603,-48.453342891171985
0.001,0.99,-4.727764331694431,-48.555349641335646
0.001,0.99,-90.24301872112805,-47.0339743625286
0.001,0.99,-88.9112916353872,-47.06535113857496
0.001,0.99,-198.25500633586694,-47.619767213140676
0.001,0.99,226.43636577312026,-43.946838094531486
0.001,0.99,-245.73055923832658,-45.56142276839042
0.001,0.99,21.697692997790398,-44.20716809743967
0.001,0.99,-238.7068472740421,-45.48168520588747
0.001,0.99,112.27992008452551,-42.23387283188955
0.001,0.99,-34.87196602295276,-42.62654493916248
0.001,0.99,134.84622063591382,-41.13783840126138
0.001,0.99,21.984834445790206,-40.53290544113936
0.001,0.99,-3.657274878908183,-40.62363633491895
0.001,0.99,-149.2121353651168,-41.909631273727676
0.001,0.99,-264.4937674238946,-44.634988792112054
0.001,0.99,-42.55680660395067,-44.92320804907897
0.001,0.99,-2.694924573768077,-44.164441568411206
0.001,0.99,-59.94482703621788,-44.33511380419087
0.001,0.99,-73.52305844202195,-45.26537380112465
0.001,0.99,-92.97387112999706,-45.87607600639734
0.001,0.99,-33.30121046696108,-45.39292100379984
